Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive
2022-12-16 12:46:30,5,33,115.0,13.7,6,72.78676338117913,74.21589554462486
2022-12-16 13:46:30,6,57,197.6,39.4,11,72.78676338117913,74.21589554462486
2022-12-16 14:46:30,10,78,311.7,72.7,17,72.78676338117913,74.21589554462486
2022-12-16 15:46:30,13,127,508.1,105.1,17,72.78676338117913,74.21589554462486
2022-12-16 16:46:00,21,184,838.1,153.4,26,72.78676338117913,74.21589554462486
2022-12-16 17:01:00,22,207,937.6,162.0,25,72.78676338117913,74.21589554462486
2022-12-16 18:31:00,24,161,664.1,156.1,25,72.78676338117913,74.21589554462486
2022-12-16 19:01:00,24,160,656.4,121.9,23,72.78676338117913,74.21589554462486
2022-12-16 20:46:30,30,168,658.1,139.7,31,72.78676338117913,74.21589554462486
2022-12-16 21:01:30,28,176,613.3,140.7,34,72.78676338117913,74.21589554462486
2022-12-16 22:01:30,24,150,540.6,103.1,32,72.78676338117913,74.21589554462486
2022-12-16 23:31:30,23,116,380.3,94.1,18,72.78676338117913,74.21589554462486
2022-12-17 00:01:30,23,91,332.4,96.8,14,72.78676338117913,74.21589554462486
2022-12-17 01:01:30,17,67,228.2,50.0,23,72.78676338117913,74.21589554462486
2022-12-17 02:01:30,12,47,192.3,27.6,20,72.78676338117913,74.21589554462486
2022-12-17 03:01:30,7,29,105.0,13.5,25,72.78676338117913,74.21589554462486
2022-12-17 04:01:30,3,23,78.4,8.8,28,72.78676338117913,74.21589554462486
2022-12-17 05:01:30,1,12,39.6,4.9,24,72.78676338117913,74.21589554462486
2022-12-17 06:01:30,2,8,38.6,10.9,30,72.78676338117913,74.21589554462486
2022-12-17 07:01:30,2,13,46.6,11.6,34,72.78676338117913,74.21589554462486
2022-12-17 08:31:30,3,16,81.3,6.8,34,72.78676338117913,74.21589554462486
2022-12-17 09:46:30,7,43,149.4,29.4,34,72.78676338117913,74.21589554462486
2022-12-17 10:46:30,11,83,313.0,63.0,31,72.78676338117913,74.21589554462486
2022-12-17 11:01:30,11,89,333.6,66.7,26,72.78676338117913,74.21589554462486
2022-12-17 12:01:30,12,91,389.9,72.4,26,72.78676338117913,74.21589554462486
2022-12-17 13:31:30,12,77,242.6,55.9,20,72.78676338117913,74.21589554462486
2022-12-17 14:46:30,15,77,285.3,97.3,22,72.78676338117913,74.21589554462486
